AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
28.4,1.88,0.6,0.11,0.3,9.6,9.9,75.4,69.0,47.0,0.0,80.0,2.1,1.99,248.0,279.0,0.7,1.0
28.4,1.91,0.68,0.13,0.3,13.4,13.6,64.2,69.0,47.0,0.0,81.0,2.5,2.04,171.0,198.0,0.5,0.8
28.5,1.97,0.75,0.17,0.3,17.2,17.7,52.1,76.0,50.0,0.0,80.0,2.9,2.14,53.0,50.0,1.5,0.6
28.2,2.04,0.85,0.21,0.3,27.8,28.1,28.9,82.0,54.0,0.0,81.0,3.3,2.25,51.0,55.0,1.0,0.8
27.9,2.1,0.74,0.25,0.3,21.4,21.7,35.4,79.0,55.0,0.0,82.0,5.3,2.35,43.0,53.0,0.9,0.8
27.6,2.08,0.69,0.2,0.3,19.9,20.2,27.7,74.0,58.0,0.0,83.0,3.2,2.28,55.0,36.0,1.0,0.7
27.1,2.0,0.57,0.14,0.3,17.0,17.4,18.9,56.0,43.0,0.0,80.0,2.0,2.14,34.0,121.0,0.7,0.4
27.2,2.01,0.6,0.16,0.6,14.4,14.9,19.3,62.0,46.0,0.0,80.0,2.0,2.17,117.0,104.0,1.2,0.6
26.9,1.98,0.49,0.16,0.3,14.6,14.9,12.7,49.0,32.0,0.0,78.0,1.9,2.14,93.0,95.0,1.2,0.9
26.6,1.97,0.39,0.13,0.3,13.8,14.3,7.7,32.0,23.0,0.0,77.0,1.4,2.1,68.0,20.0,1.0,0.6
26.2,1.91,0.34,0.11,0.3,11.6,11.9,11.0,29.0,18.0,0.0,76.0,1.7,2.02,64.0,73.0,0.7,0.6
26.1,1.87,0.36,0.11,0.3,11.5,11.8,8.4,26.0,16.0,0.0,74.0,1.4,1.98,90.0,41.0,0.6,0.7
26.2,1.93,0.45,0.14,5.0,17.2,22.1,5.1,27.0,17.0,0.0,73.0,1.5,2.07,79.0,78.0,1.3,1.0
26.9,1.88,0.76,0.21,18.9,22.4,41.3,5.4,36.0,19.0,0.0,70.0,1.9,2.09,83.0,83.0,0.9,0.9
28.7,1.88,0.96,0.26,18.1,27.6,45.7,12.9,50.0,28.0,0.0,67.0,2.1,2.14,55.0,27.0,1.4,0.7
30.2,1.86,0.78,0.2,4.1,20.2,24.3,48.2,63.0,42.0,0.0,66.0,2.1,2.06,47.0,126.0,1.4,0.8
31.4,1.87,0.72,0.19,1.5,15.4,16.9,78.5,76.0,50.0,0.0,62.0,1.8,2.06,308.0,284.0,1.7,0.5
31.9,1.86,0.64,0.15,0.6,11.0,11.6,91.8,73.0,55.0,0.0,63.0,1.9,2.01,307.0,343.0,1.5,1.2
32.0,1.87,0.59,0.13,0.3,9.5,9.9,94.2,74.0,57.0,0.0,64.0,1.8,2.0,313.0,308.0,2.0,1.2
31.2,1.88,0.57,0.1,0.3,6.9,7.2,86.3,80.0,56.0,0.0,68.0,2.0,1.98,298.0,296.0,2.8,2.2
30.8,1.88,0.52,0.08,0.3,6.3,6.4,83.5,81.0,57.0,0.0,70.0,2.3,1.96,311.0,325.0,1.6,1.2
30.8,1.85,0.5,0.08,0.5,6.8,7.4,75.5,69.0,51.0,0.0,70.0,1.8,1.93,309.0,301.0,1.5,0.9
30.5,1.87,0.56,0.11,0.3,9.6,10.0,70.4,68.0,46.0,0.0,71.0,1.8,1.98,360.0,61.0,1.4,0.4
30.2,1.85,0.62,0.16,0.3,16.1,16.5,60.2,60.0,44.0,0.0,69.0,1.8,2.01,73.0,91.0,1.6,1.2
29.7,1.86,0.73,0.21,0.3,24.9,25.2,43.9,59.0,46.0,0.0,70.0,2.4,2.07,90.0,100.0,1.7,1.2
29.2,1.88,0.73,0.22,0.3,26.1,26.4,37.3,64.0,47.0,0.0,72.0,2.5,2.1,76.0,76.0,1.3,1.1
28.7,1.86,0.68,0.21,0.3,19.9,20.2,37.0,53.0,40.0,0.0,72.0,1.6,2.07,75.0,54.0,1.0,0.8
28.3,1.87,0.74,0.22,0.6,22.4,22.9,33.6,51.0,36.0,0.0,73.0,1.7,2.09,145.0,194.0,1.4,0.6
